timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,l2d_cache_refill,ll_cache_miss,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,ransomware
1724236706.2152,1005,13111319,17662028,19497668,3461212,194017,47358,8751,5478997,1897678,3579381,154565,2218634,549474,1
1724236706.4786,1005,29832004,50826466,57083025,14272896,1129999,405870,67385,19179309,4644125,7845048,247907,7372789,6180008,1
1724236706.7419,1005,19304426,33851738,39746908,13598258,1758554,548274,123098,11561863,7407247,5155790,192205,4858981,4938948,1
1724403328.0744,1006,3650959,7028069,8432708,1724746,70563,19212,4937,1871332,1192667,1219817,56169,354359,0,0
1724403328.2769,1006,10544693,19319990,21535268,4484401,138632,46470,12605,6263390,1793515,3021319,157771,1387390,0,0
1724403328.4794,1006,7488497,17344268,21114372,1256889,51656,13622,3897,5006517,2723962,3057990,145868,511026,1146728,0
1723567167.0418,1007,126683002,259276200,291492403,61848425,2462610,496515,85220,56998544,25905719,51510738,2641288,16729219,0,1
1723567167.4147,1007,139925119,309394863,377799686,107377061,11732090,3810566,820601,89635751,73259594,61725959,2815754,27791033,24481434,1
1723567167.7877,1007,40693702,84754304,87250165,40396705,3660916,1281019,347818,21992874,6273638,16353424,784214,2605200,5189608,1
1723567168.1606,1007,99678539,221599334,250980184,74780748,8392975,2856624,692749,48090214,6425201,44802992,1896833,29456555,11465481,1
1723567168.5335,1007,92917858,217842661,222663464,106826751,15957351,6086331,1663384,54887840,24056713,42142300,1607707,27166868,0,1
1723567168.9065,1007,227303588,595198682,656595389,242790790,20797371,7740128,2899040,169993739,127966812,135588526,5971580,140296618,94851998,1
1723567169.2794,1007,171920869,412704874,434601051,204335329,42392296,16791208,5768799,84251193,98666780,73586077,2104138,87704175,18756987,1
1723594072.0213,1008,20144115,39545819,46545182,12747743,63738,19778,2488,9280725,930903,7742521,334920,2602770,12446753,0
1723594072.0794,1008,12435964,24554869,26200325,12729232,515523,148250,9527,9043835,2989270,5807563,263151,2307169,5169383,0
1723594072.1376,1008,17884334,37090881,43672631,8899078,270027,82842,4035,11117967,3182191,8635772,392680,5597053,5389572,0
1724235129.6102,1009,149332005,273569107,304514326,57736261,5495980,1510566,156897,126810358,6090286,62299852,5851185,217652,39407352,0
1724235129.7928,1009,212723525,378685916,400304502,103215905,10454573,3585251,299487,163135542,35750503,81936511,6635538,4556060,60931542,0
1724235129.9755,1009,179600981,393720174,484620371,27847251,2629076,679988,35958,143270725,9692407,91339346,7701558,12717951,84803153,0
1724235130.1581,1009,123205524,261627426,279614197,71120757,6533618,2038611,90214,68556590,8810378,48073501,4435339,0,44386052,0
1724235130.3408,1009,69957295,148930023,184451926,48906690,4809526,1625103,208136,63639410,15709893,34384346,2963571,2912813,33061199,0
1724360630.8596,1010,40759435,45901263,48185009,13839225,591343,214885,19462,10283421,4905888,7193195,211241,0,2939226,0
1724360631.3178,1010,50125897,64115960,74397102,18415267,611748,211141,4222,18324578,5661852,9525920,308800,3308576,0,0
1724360631.776,1010,35686717,53533987,62544208,16220298,928241,306039,15006,16906668,7981802,6978816,214404,1061914,2271652,0
1724360632.2342,1010,42972210,56436491,63053336,15219528,750449,242933,9002,11983324,4672420,8624895,309144,0,3543133,0
1724360632.6923,1010,47621429,69682121,72601508,26671285,1488565,531752,52943,16576227,7041610,10258685,267827,3716561,7297175,0
1724038941.8595,1011,33504119,36914236,41001777,4889767,231499,87175,10685,9892668,1516013,5732422,415992,166155,0,0
1724038941.9527,1011,49159375,39834010,44741870,2755595,185140,81859,6519,7615071,6030838,5075438,334481,73278,0,0
1724038942.046,1011,42066740,31333330,37422003,5547721,218862,87338,9641,9802990,7323080,4131820,327682,0,687156,0
1724038942.1392,1011,39779346,40059557,42843336,6552106,232531,84108,13495,8061842,5511587,5633839,428632,0,3183166,0
1724038942.2325,1011,40920322,32224457,33608857,6023197,300557,111445,12123,10329081,7309356,4705097,324182,0,0,0
1724158753.6387,1012,9761935,11277448,12399758,2796238,109668,29482,3877,3795949,1343660,2725351,201926,2592757,2530696,0
1724158753.8676,1012,10167608,12740248,13107991,3135016,165379,45604,4127,2526296,2235065,2597683,192212,2019409,2802573,0
1724158754.0965,1012,14464587,19908224,24718517,1846949,9234,2221,111,4870540,4162907,4554371,330607,2304084,3875855,0
1724158754.3254,1012,16359870,24948046,25584550,7460490,234850,64182,1866,6990275,1345121,4769607,383235,2049559,2970369,0
1724158754.5542,1012,15385659,23516121,24423117,8077534,338260,83806,6522,7880120,2549381,5265786,366010,6055499,2789887,0
1724471804.1094,1013,79618569,116948796,131564225,58591061,11395592,4489294,2275247,34377328,15712491,23749997,1552023,27110080,32035421,0
1724471804.4001,1013,78245089,144778756,152789136,92803182,21055646,6580222,3656068,53203122,29164308,32812673,2209156,38643054,29618770,0
1724471804.6908,1013,44698650,83475188,88654491,31380237,6764806,2270114,1079523,32064810,17952039,12322434,692940,25124343,19706112,0
1724471804.9815,1013,37374302,72992399,84406953,37149185,8465470,2833006,1580036,33040876,11442076,15222211,1086823,22822162,25098200,0
1724471805.2722,1013,71666112,128298819,141809946,69881719,14765886,4919943,2713922,35113902,10896444,22784272,1378841,44767377,16554736,0
1724471805.5629,1013,58371346,115774809,141598367,54065350,11335867,3456996,1723037,34971281,24660278,21271143,1404544,43505813,31854179,0
1724471805.8536,1013,38873617,70175862,77403024,33475376,6573982,2264009,1057949,24263421,13300687,16348927,995564,20718796,5859326,0
1724438805.8046,1014,46831153,69582355,75715964,34507080,6930023,3958204,1265861,17303718,7628508,7509958,216358,14611028,12893886,0
1724438806.255,1014,59946613,97749446,109370890,51795155,11221195,6310563,2276917,26922864,7552141,11417558,375795,28071028,23673803,0
1724438806.7054,1014,37378907,65327650,69571598,26961710,5505583,3308582,1264674,14632940,10769484,6691539,213787,13927970,13266400,0
1723550536.4471,1015,30378022,30402531,35338405,12115017,1027087,266190,5323,7911235,3839865,4173152,240444,274079,11343948,0
1723550536.9055,1015,18377369,19841446,24405482,10238685,904690,265677,25112,5705340,494331,2426011,143941,729461,6222445,0
1723550537.3639,1015,22095288,23840509,26416240,10035809,843093,233175,9232,6112169,3340914,3552198,197222,365661,6747033,0
1723550537.8223,1015,18653314,24524382,25301868,7960287,672267,164006,3280,6317339,2149579,3456237,234082,56356,6077241,0
1723550538.2808,1015,21900406,29292372,35861289,13777793,1038980,228406,26601,9377640,2835255,4649907,272953,0,9364274,0
1723550538.7392,1015,15972574,19083703,22234609,7514612,782726,199529,3990,6365907,885582,2855279,155154,160179,4328730,0
1723940962.7793,1016,418931280,479810049,573323582,169006955,845034,141890,13205,109080461,45035651,100596222,5331119,127200053,93984940,0
1723940962.9268,1016,204401336,197099417,201067160,57113255,535263,80315,1606,48504378,21403573,38831687,2366887,28469114,26701580,0
1723940963.0742,1016,199971135,183994354,197151330,35211431,701201,84767,6518,57335089,31312078,37661000,2589169,30230393,24836703,0
1724259341.2711,1017,29341873,44816948,48974309,11762987,184534,34490,4411,12778456,6928312,9449644,449454,1195774,4763865,0
1724259341.4422,1017,60204526,92081113,97100372,27746808,1130818,147939,14826,17860796,18098765,15183644,730494,0,383425,0
1724259341.6133,1017,49709296,67152680,79488114,14758845,549721,89394,8338,17792980,5750959,14601288,598249,0,0,0
1724259341.7845,1017,48679933,73731252,90568337,16562194,609536,52958,6940,26869860,10786548,15037492,613754,3220421,0,0
1724259341.9556,1017,30552552,52398302,55552979,10339517,284151,30600,972,9425133,8234960,10346493,390711,0,7129809,0
1724259342.1267,1017,31902896,46399761,52400192,9261232,186418,25427,2290,12991598,10233969,8832859,434597,1308952,1622774,0
1724259342.2978,1017,44295911,67352800,75118670,21892549,458196,66649,5972,12781247,4149731,12752077,578020,217633,11154849,0
1724259342.4689,1017,33765890,49438195,51567305,10922199,217079,34200,3581,12456526,8513389,8748397,458331,1906856,5771699,0
1724259342.64,1017,29428556,51894492,56798381,15120905,281762,41821,3976,17986693,8434374,9257074,364894,4898996,3587227,0
1723623938.3433,1018,48760214,75557262,91091621,27162917,4571809,1737608,893386,12358896,10778020,11185724,626070,9600992,11629664,0
1723623938.6321,1018,14003601,21048459,22403488,10606712,1739016,600428,320665,5116707,1052824,3342245,221096,4031685,3059386,0
1723623938.9209,1018,21573051,32549184,39237121,13316371,2106133,716516,377151,8665856,2706833,5295594,346791,5713974,10181615,0
1723623939.2097,1018,16833497,26395054,29503695,9850121,1609473,606478,334825,6956468,1894763,4139961,309231,5372894,6518597,0
1723623939.4986,1018,17700183,24333847,25615849,7978977,1420256,501659,262793,5207123,6144647,3738065,249189,5421850,6282811,0
1723623939.7874,1018,10111874,15453419,16423494,6226061,943508,322678,161836,2988234,2787649,2130557,122756,2388463,2383405,0
1723885921.4555,1019,5172891,4279046,4981661,1631358,33301,14332,1289,1376454,624328,761027,38806,513552,490358,0
1723885921.6194,1019,10930048,9355504,10635016,3499120,96323,40576,1145,2935945,212700,1181393,59087,810406,732304,0
1723885921.7834,1019,7159061,6073654,7262684,1614411,58783,22078,1280,1467648,696472,1005305,30354,896398,486425,0
1723885921.9474,1019,6773217,6123335,6853020,2733224,55212,23144,644,1909762,652154,1008155,47023,1080455,466257,0
1723885922.1114,1019,3191351,2114393,2253028,884055,7913,3324,315,736765,212258,372281,14879,126751,243199,0
1723885922.2754,1019,15753356,19536201,23681235,9839452,269299,116198,8008,3164536,2125401,3504634,148527,2921777,1486581,0
1723650600.8327,1020,41903849,57550243,68790830,14928238,696962,247981,26268,19886914,1375816,11649132,861663,2970936,5004182,0
1723650601.0711,1020,45963223,58343023,62827934,18246332,907341,257908,27625,18447496,5415291,9765029,680308,1430375,6855460,0
1723650601.3094,1020,80317209,111955322,132881029,27923199,1683511,579859,47604,26766784,3609371,16812221,1250658,0,3483187,0
1723650601.5478,1020,48054644,63143779,72707602,7875229,394228,94447,6363,14019184,8569632,10820649,852000,179954,4361236,0
1724272506.1231,1021,16727584,21365888,23769374,3101347,157611,23879,1526,4853339,3450244,4812388,222194,2555221,4020717,0
1724272506.4401,1021,25434356,40037259,44703442,5520687,236233,36315,2288,10953906,3086778,8847004,470926,1610491,3349998,0
1724272506.7572,1021,24899707,27887849,32545647,4654236,198301,38077,2092,8580254,3227649,6406772,297910,3302968,3141785,0
1724272507.0742,1021,59413419,83561258,103490652,21286278,842041,125897,16014,31378255,17083631,18278060,993112,16761865,15838451,0
1724272507.3913,1021,19407459,27682751,33500508,4336778,161368,32597,3007,8109658,6661252,6071048,309846,1481764,7695447,0
1724272507.7084,1021,37282342,48278717,50229608,7105066,338393,39654,2885,11891281,5118898,9932950,396166,6928649,8086117,0
1724272508.0254,1021,21078394,23394257,24924730,4135749,195715,46139,4392,7955309,4009549,5705453,292254,4294406,3561733,0
1724272508.3425,1021,28581862,37224332,41944838,6523413,318806,45449,6397,10419832,5335333,8331209,448837,7029271,7927431,0
1724272508.6595,1021,17657894,28436848,31585318,3161222,92688,10892,1097,7844963,5152690,5754332,278210,4871138,6669635,0
1724272508.9766,1021,18702777,26625553,30049419,6151663,259630,44205,2051,9905291,2301384,5679248,285869,5378397,3198522,0
1724272509.2936,1021,39774809,54705024,60747710,13337607,887697,120582,2411,12410489,10724450,13137202,606612,5423706,8273919,0
1723772045.4896,1022,121621147,153419188,175176147,13666268,372749,168155,3363,60498364,35726616,19067852,917971,5720661,6918333,0
1723772045.79,1022,86534645,130430608,153991406,26571308,132856,56010,2647,50289689,30172139,19416336,1103531,2792703,0,0
1723772046.0904,1022,63481519,81014083,92212748,12169180,340461,159252,3185,26972150,6218320,10246961,479484,1732402,0,0
1723772046.3909,1022,83253959,107693017,118597645,27641835,690332,281319,20584,28590007,13352782,16983816,871853,344433,10246521,0
1723772046.6913,1022,104834367,152979089,171330301,24648593,1163397,508739,37531,42659680,21842744,25888714,1454585,4381242,10347077,0
1723772046.9917,1022,93815109,115698375,127903812,25261609,735326,290612,10808,45909726,22922836,20764123,1095512,0,0,0
1723749548.5624,1023,24529114,35327977,38265540,5119935,140975,60059,3337,6312146,4305119,7736433,441646,0,0,0
1723749548.9489,1023,83541378,116800251,145315304,30979508,1399183,567804,15726,38624194,19571036,19948478,884914,0,733600,0
1723749549.3355,1023,45520595,68832916,74074363,11739131,803449,315889,6739,17409580,4287614,13239916,729660,1427237,6606977,0
1723749549.722,1023,38732081,48758434,53339989,12746912,627846,267268,18216,9172850,1776143,9379958,451855,0,0,0
1723749550.1085,1023,26971863,38104842,40243128,8467567,274990,113703,6855,11550636,1276625,7811402,371543,0,0,0
1723749550.495,1023,38295104,56012256,66358286,10926483,343114,139119,11966,21027301,1584291,11099401,542185,0,7143795,0
1723749550.8815,1023,27197239,38714698,48208546,12452078,434735,183365,12078,7218322,2641832,8290628,411019,2496580,0,0
1723749551.268,1023,49179619,66881579,73236493,25230340,1031694,416454,24947,13707923,5899404,10042058,547429,0,0,0
1723749551.6545,1023,69430851,106265674,112895727,28227487,1042988,492400,26189,28673168,2257914,19906918,813342,937250,1849369,0
1723749552.041,1023,33514732,59431575,64309531,23084775,1162016,518700,61227,22996472,2349853,8985411,414562,2261176,480579,0
1723749552.4275,1023,13989376,23704235,25635630,8119447,264151,96258,2145,6255414,1192753,5029340,248820,2664120,0,0
1724132446.7136,1024,110686918,198277607,214584049,39533615,2074263,396998,37175,63856860,19496954,36641799,2391946,8291635,24044369,0
1724132447.1926,1024,424686346,802975967,962518156,209037750,11872494,1826785,138894,177238461,142413006,170292630,9716018,28382782,165011670,0
1724132447.6715,1024,173193835,309464912,380854147,42382905,2974011,552967,96323,104688005,39730003,62803643,3410667,0,28680562,0
1724132448.1505,1024,215961411,436905277,446081875,98774403,4960229,997158,88819,82863144,88478272,72588066,4431840,22108929,1305526,0
1724132448.6294,1024,208031238,405055783,427532270,59469687,4135701,982635,127663,104699105,44500625,93389741,5457761,7490812,13379483,0
1723599932.0077,1025,15301294,27605601,34215622,9344423,188150,59781,7056,5230803,2694181,4759474,173681,1706072,2486318,1
1723599932.2065,1025,23552579,39187062,40885040,7353697,58358,16979,3440,6035680,4364946,5059536,174928,1855955,0,1
1723599932.4053,1025,17114373,32274623,36508982,10445503,536741,206611,54724,8056259,7133440,4157278,139881,4704024,1982116,1
1723599932.6041,1025,30203555,67472261,80558349,19799941,1173686,420046,122339,12160427,14526455,11948970,345475,2160017,3454700,1
1723599932.8028,1025,12763488,28525364,29657201,11779488,941885,357273,110446,4581744,6361977,4056273,125856,3327930,3460771,1
1723599933.0016,1025,17676819,37686757,40974466,17839475,1654962,580765,167793,2426050,6495843,6571435,64770,8337656,6326891,1
1724415397.2922,1026,52636065,75038675,81488331,21792218,775911,110502,2210,14147163,6057001,17407179,453418,11426270,15977465,0
1724415397.6472,1026,20356907,26657931,27613093,5786381,139797,19552,896,5256577,2777537,5003466,70239,3615592,4530664,0
1724415398.0023,1026,31322216,48168344,58667915,18193990,90969,11700,234,14727008,6036066,9097984,209311,6470290,9958842,0
1724415398.3574,1026,9346447,12309518,13087571,2925501,61116,10146,231,3130718,1137047,2338443,48611,893977,1920099,0
1724415398.7125,1026,26275469,41159395,49457063,11230517,370431,44507,1041,7250164,2272701,7083768,139597,6757137,6718194,0
1724415399.0675,1026,32093613,37798033,44685032,7409199,173322,19774,656,11114489,998872,7997052,215124,3113486,10922179,0
1724415399.4226,1026,37714311,48496807,56659830,12057409,338150,36821,1730,13773973,10963392,9517165,215841,4557928,10177958,0
1724415399.7777,1026,49833477,78838519,87322827,16815137,574837,109863,2197,17725758,6350394,16871214,294614,9137780,12611498,0
1724415400.1328,1026,31423828,40850138,43783464,9464189,307375,33195,1644,12792692,7473484,6802389,143287,2816801,11561661,0
1724415400.4878,1026,23243826,28121766,29877199,6975532,204996,39050,1170,7789088,3110622,6449449,177843,5138369,6421762,0
1724415400.8429,1026,29269849,36533778,43335268,11869331,447838,70745,1562,9316928,5500636,7971664,174403,3118493,10542406,0
1724415401.198,1026,30006358,35275326,36013312,15288805,466197,75246,1504,8761828,814636,8043517,164921,2022408,8617271,0
1724415401.5531,1026,16660054,21845623,25099532,5559797,55222,9667,228,7638594,1546003,4479219,108518,3407592,3223202,0
1724415401.9081,1026,16579128,23084100,27558997,7766340,203861,26301,526,7163283,3421959,4987630,115257,3108280,6743674,0
1724415402.2632,1026,13513165,18667799,19948052,5770719,181517,24680,2616,3448531,1190006,3746991,72401,2336211,5236098,0
1724415402.6183,1026,40330923,57670683,63440230,20051327,447926,41068,2343,8987522,8815907,13443179,251005,11286537,12762578,0
1724415402.9734,1026,20748328,27677053,31025369,11044254,283847,40341,806,7023321,4994625,5646085,162947,5015696,8127880,0
1724415403.3284,1026,13467203,14158398,16752393,6137608,209687,34801,1449,4945520,2814539,2897000,91995,1569447,1457532,0
1723748690.5701,1027,14634784,20680456,23532026,8029301,185085,67849,3501,4530756,955917,5055823,180322,846771,1240531,0
1723748690.7594,1027,10727436,14555378,18061070,3101068,94859,39872,3735,4897482,1667566,2957388,104430,0,651492,0
1723748690.9487,1027,13695147,21699117,25457467,4968765,153638,78371,6271,6109931,2868571,4778960,178657,1053394,3072528,0
1723748691.138,1027,21260365,30087625,32562947,5360866,94293,39547,4508,12537686,651258,6446852,239381,0,3475164,0
1723748691.3273,1027,6891733,10859293,11666590,3065010,32085,14032,1510,2820889,1720738,2613040,91282,512134,1220876,0
1723963626.084,1028,25226149,21094750,25637717,2079237,128247,14750,2146,7917768,4066734,3822594,281528,34596,0,0
1723963626.413,1028,20157391,21684194,24846048,4514887,209464,16331,3575,7868194,2311293,4080775,289743,0,1828343,0
1723963626.7421,1028,30237946,35435496,37275868,5130230,254139,31697,4196,12475012,4241145,5835220,426753,0,282981,0
1723963627.0711,1028,12775279,11661162,14243195,1885533,119307,12827,1588,3712882,337412,2121690,146007,272587,679309,0
1723963627.4002,1028,31724009,29081031,30621416,2745219,138325,9755,1095,10290374,2195400,4215376,293365,465474,2520714,0
1724429768.7485,1029,27862972,28061466,32161266,15429849,2492268,951378,297367,3546313,2535628,4407715,346068,7772646,997275,0
1724429769.2468,1029,27994620,29301793,31999458,13329216,2256881,644690,177726,5734464,3049695,5138841,349273,6531712,115068,0
1724429769.7451,1029,53386550,73321376,79729566,34835080,5321152,1887002,580923,10345461,6371849,11044751,826520,15671971,4174484,0
1724264813.2905,1030,38344096,37126497,39741409,11319067,496642,212886,40437,7850037,5636386,6203875,255636,971822,4015752,1
1724264813.6326,1030,43730689,57594157,68917583,17676802,1251748,569314,138390,11348477,13005195,9940468,364383,431275,1952765,1
1724264813.9748,1030,37681425,50424412,57339570,12207113,1028452,451201,138059,11779699,6871911,8918890,246084,3173713,2126471,1
1724264814.3169,1030,62924545,87935707,108052764,12073053,1219738,628707,173740,25248502,18620934,13442677,104870,4863157,7539266,1
1723602362.5766,1031,54914602,70914949,74059129,20969033,4052107,1466585,566650,22650620,17293496,10042541,447844,21813308,12902698,0
1723602362.9019,1031,85216047,99001289,108597134,30945458,5886280,2313888,928699,26019145,22000410,19408413,990223,24676994,21409045,0
1723602363.2272,1031,111548805,100265591,114004225,30432361,6416067,2551151,933192,39975037,18720678,10066911,526106,26351000,14420067,0
1724115517.1124,1032,40787673,59131223,62439202,12700744,63503,26126,1263,20421861,8093671,4992052,234566,6592920,14620858,0
1724115517.53,1032,71936278,97364668,102125193,27185799,409636,185745,11339,30739869,17681638,15253744,716887,18339388,18965680,0
1724115517.9476,1032,25609511,33002486,37844671,10358742,130054,51957,4773,13022133,4985690,4119678,164961,8049484,8675782,0
1724115518.3653,1032,30543200,43536353,53190553,9313528,199958,89421,5504,14498976,10846087,5661593,282402,8229904,13685090,0
1724115518.7829,1032,58385455,75399578,79450293,23863503,188496,73611,3230,17670430,15851977,11489057,362926,11790287,13887559,0
1724115519.2005,1032,34276453,45605900,54071829,11643691,58218,26326,1763,14268382,7381118,5260150,261774,5812160,11068156,0
1723728436.9155,1033,20327769,18055455,19192075,4082622,67248,5052,920,4598100,1237269,2547211,78871,0,1291981,0
1723728437.3592,1033,11975785,12472330,13815728,2491032,12455,974,197,1426115,2472782,1786578,51059,0,0,0
1723728437.803,1033,31165630,28798413,30470802,7202190,140119,7005,926,6308202,5784430,4257806,121162,0,1142068,0
1723728438.2468,1033,58923252,54213859,64972116,19463626,97318,10538,1893,16017764,15130666,7655393,197113,3324340,58352,0
1723728438.6905,1033,26547546,21327152,23772967,5796270,52457,3922,842,5425505,1620053,3342471,109144,451250,0,0
1723774877.4525,1034,7570729,11851889,14067160,2092776,113911,35827,2315,4804983,1116166,1453372,62534,850308,3090912,0
1723774877.8284,1034,17570817,30467995,34957920,11641884,405892,138371,7909,13734604,4638018,4549067,199762,4373086,7096883,0
1723774878.2043,1034,17651512,28872942,33725457,6463636,103472,32989,659,9879469,6939181,4011940,158332,2627725,5606453,0
1723774878.5802,1034,27711101,38100337,39794565,13272752,521421,186382,12650,8981717,4164849,4890750,162726,6670312,6699678,0
1723774878.9561,1034,20387725,31608724,34225128,11394569,380604,116365,9505,8089049,5585780,3540539,160808,1918760,7809988,0
1723774879.3319,1034,20015814,25883306,31427901,6312692,300163,114627,9566,10487420,2414414,3711429,170443,3281191,6397736,0
1723774879.7078,1034,23225450,33931254,34882369,13963389,458733,158862,16521,9784533,4886115,4797709,179800,4311605,2271104,0
1723774880.0837,1034,14831317,24993799,27792824,5953567,191345,62071,5920,8197131,5360061,3786990,152115,3043451,5669685,0
1723774880.4596,1034,28783440,53382669,61698884,12696205,323905,101445,5694,17339747,11268098,8932045,249245,6255823,13140343,0
1723864108.4345,1035,17150765,16063736,18398200,1735706,39422,13630,3816,4030684,493466,1961690,63809,1242800,2243844,0
1723864108.5068,1035,42626365,47050146,48802748,10447269,68445,20712,5881,9042979,5508598,6309931,209349,0,5185896,0
1723864108.5791,1035,70269114,85239451,90620807,5780934,249912,81168,22336,17123686,3003402,9906361,309031,6464317,4236739,0
1723864108.6514,1035,80317507,86672405,93117878,11208364,408246,122134,36701,21738130,9065755,9830655,283936,3583457,0,0
1723864108.7237,1035,85365506,88737834,92016700,7872981,240899,74014,24756,18605677,11508031,7655089,228571,0,6935438,0
1723864108.796,1035,44126139,54194835,61050523,4431385,180901,58522,16525,13193679,4958092,5554454,226205,0,4436817,0
1723864108.8683,1035,64508155,78787917,84384786,16173663,552475,130653,33578,25344763,7340715,11358018,347728,1175987,7845261,0
1723864108.9406,1035,42926942,38518715,43775212,5690375,84801,18883,5461,10317282,875504,4974929,186593,0,1549794,0
1723750910.0931,1036,28151428,29602614,32671615,7526837,239297,93169,6053,7281310,5699517,5016411,241042,77801,623131,0
1723750910.5572,1036,20673712,16190705,19712099,3176878,128835,42349,5183,5042096,476207,3065625,174070,0,2132002,0
1723750911.0214,1036,14135691,13996099,15773232,2181247,67448,28020,3489,2628067,2117978,2407624,141300,0,1211591,0
1723750911.4856,1036,17705916,15389237,16293041,3741778,187744,64899,10192,3573842,1133122,3184942,160683,511744,538182,0
1723750911.9498,1036,20492616,18383949,20893456,5994997,147640,49524,5884,2973168,2136374,3313955,199797,1221832,1372567,0
1723750912.414,1036,18507570,22298826,27338764,2512572,94163,37261,5714,6275331,3015998,4670360,248606,170023,3734947,0
1723750912.8781,1036,35446466,34292704,39310827,6829656,258111,90358,13282,10415164,3449189,7488534,401671,0,1584191,0
1723750913.3423,1036,13800705,16475167,18653753,2873667,66541,22681,2990,3977838,2120747,3166685,160613,0,797880,0
1723750913.8065,1036,9563735,9165612,10802201,1006463,37243,12513,1833,2978627,216044,1508332,86665,332052,565575,0
1723555392.3824,1037,8829667,12083543,14667457,4181195,302519,87329,11184,3232701,1543026,2860300,228078,621077,3077194,0
1723555392.703,1037,5796857,9365197,10202511,4139465,419785,111828,12066,2644844,205691,2187453,167010,0,1162124,0
1723555393.0237,1037,10367481,15216280,17823059,3766722,389535,93283,9513,3415108,1991758,3803236,298996,149423,3479247,0
1723555393.3444,1037,10606124,16661375,17980624,5129250,572009,150414,17726,4412742,2913391,3080110,246399,0,2215066,0
1723555393.665,1037,9437682,15760583,16446881,7064383,687387,170595,16446,4811515,2110854,3339368,280439,0,3872099,0
1723555393.9857,1037,13197244,21499691,22615584,8526349,784673,177117,18386,5066513,2284013,4556442,333382,750088,1899465,0
1723555394.3063,1037,9175166,14410785,16856061,7305585,571115,172839,17448,3644211,715126,3063762,265856,434249,196198,0
1724083494.0324,1038,116789724,191382305,206755465,44803366,2087281,451245,74633,53020870,25547394,35476582,2150676,12763528,0,0
1724083494.5133,1038,195197847,276255033,302629932,41613281,1070537,199355,29957,84407455,31068718,49601057,3074707,2676304,0,0
1724083494.9942,1038,137442081,173750476,188300336,40914316,1673876,348126,60262,60250866,5218764,34755560,2239278,0,10438995,0
1723716399.9819,1039,20239156,22603884,26678062,6340168,31700,7377,693,9054975,3633523,5360570,146637,3424646,5169479,0
1723716400.4005,1039,14188218,12767792,13614003,4901748,61611,14682,2491,3226024,838646,2927767,50726,2167220,3819842,0
1723716400.819,1039,29585262,30011995,33990652,12957902,221750,55664,7680,9345291,5464212,6004005,99936,5993980,6855273,0
