timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,l2d_cache_refill,ll_cache_miss,mem_access,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,dp_spec,stall_backend,ransomware
1723892928.3822,1006,49568594,46593482,54682358,13814579,337150,40991,8970,12667133,15664072,4416610,7299134,220094,916447,4089368,29595858,13367182,0
1724478204.8746,1007,33732763,47675613,56991224,16991433,597528,118565,9353,15981240,13633695,7169508,9635919,803822,0,4320554,31867466,10380801,1
1724478205.3184,1007,51234723,73611506,81687748,20382394,1565102,388119,57871,19262336,29336228,17436258,11935461,852907,6492961,12401188,16021110,16382954,1
1724478205.7622,1007,43673268,72201465,85040147,25482275,1943855,476853,112572,25871502,25310087,16526748,11978040,740491,7734530,10828823,24639958,16987736,1
1724323127.728,1008,124487349,120116319,146299782,20376294,101881,5094,838,19405011,28271947,18601436,23753356,606680,2318723,11513047,85594626,39163815,0
1724323128.1387,1008,111039293,128175846,155004942,6014396,54176,5013,680,6408792,36640752,19240421,22784439,405246,10056467,0,89067300,43746621,0
1724323128.5493,1008,266208351,250158586,258007463,47450097,1005335,76581,15307,47242998,50892242,22178857,49343684,750436,0,0,184936363,75344783,0
1724323128.9599,1008,149863967,163863806,200693952,38582324,300109,33848,6019,41944996,59843574,12575645,30224861,565786,13380766,9455818,105438147,40041224,0
1724323129.3705,1008,91083680,122390699,132292798,12467265,318488,35833,7323,11646464,9116052,4435760,21962331,542690,900776,0,117840208,29586334,0
1724323129.7812,1008,102814211,111594876,134519134,20956103,104780,15789,2604,22762125,29304195,16867363,24367839,546576,0,1874497,86473078,28704833,0
1724323130.1918,1008,62834466,61309945,67179168,15520111,211298,26212,4390,16630843,11099610,10935797,12045639,259135,5847528,1659866,37636365,16477396,0
1724323130.6024,1008,168749457,185457261,217700482,31682164,158410,7920,1621,34996065,37077339,20479809,36845119,860058,18362133,6152681,135628519,40942235,0
1724323131.013,1008,128289447,167032678,192082222,16581129,82905,9833,2001,16274284,41177740,8697451,32143824,311369,1692226,0,140514803,32819075,0
1724323131.4237,1008,212033286,123991347,138380846,10010288,70400,7005,938,9643587,31795295,15763474,25050937,674562,8102873,4124748,78594453,65177894,0
1724323131.8343,1008,68581544,67408854,71679143,22809205,385893,43741,7221,22212858,15919375,10571845,11918859,400944,0,1656812,43531110,21174622,0
1724323132.2449,1008,96608656,110023900,135074968,15330215,334251,16712,3455,15651914,40136353,14216666,20890090,500840,6600165,3679561,70442221,24209913,0
1724323132.6555,1008,220309841,261798022,309655773,52817552,264087,23941,4212,48263383,62017456,47025739,42521343,959333,18435946,0,182176630,76145160,0
1724323133.0662,1008,83843784,88197986,99010773,19459555,182929,17206,2858,17764169,10686496,15266810,16391539,419027,8462233,3239647,61355585,25648950,0
1724323133.4768,1008,168053395,168079102,179244507,36921650,389385,43571,9713,37842667,48376111,42216469,33798803,592597,20713734,13023258,54914932,55231481,0
1724137609.1062,1009,17535306,22780191,25693120,12546123,475337,140780,21791,12225651,6317573,4772732,2496877,144509,0,1989928,12612885,3646159,0
1724137609.2322,1009,15867972,12016471,13527340,6877022,353290,99197,19187,6302202,3388277,1391450,1549815,88691,0,1463755,7283858,3165576,0
1724137609.3582,1009,11295513,12221137,13810289,5362721,120657,30199,4765,5109310,3038540,1308101,1872101,107138,304918,701848,8456881,1806389,0
1724137609.4842,1009,19061830,12088221,14420154,4299344,64355,14752,1387,4301123,4267317,407856,1474763,80574,291622,1144403,8308954,2886186,0
1724137609.6102,1009,24040785,27166455,27808542,12891057,637820,165485,33382,12052590,8348708,5918710,3570261,196552,1101793,1874978,10564351,5359757,0
1724137609.7362,1009,14204185,9703256,11140409,3220954,105827,27041,4887,3444530,2473849,485771,1070764,53370,342565,175325,7662897,1857644,0
1724137609.8622,1009,12112947,9396209,10155963,3816451,144152,43673,7509,3762892,2724057,403396,1293732,67354,0,415969,6612540,1981868,0
1724137609.9882,1009,8164820,4887345,5197361,2215642,52373,13912,2928,2042689,1260126,682406,742746,35999,0,0,3254828,1272863,0
1724282905.6824,1010,158040904,189855548,230812959,55239626,1710918,678521,111036,50785612,31831772,41673907,17863390,575768,16582093,18318471,122406715,30851289,0
1724282906.0906,1010,127997260,121421701,137893919,26907478,134537,56356,9784,28695003,23934964,27588526,20793553,503532,7584931,0,78785496,36820795,0
1724282906.4989,1010,202748508,273943985,285333426,62771013,1561725,584951,94376,64888231,55480035,51363434,25613295,629816,2369410,0,176120546,54795348,0
1724282906.9071,1010,161421601,173773212,191168511,35828486,593921,277701,32665,37986702,32912482,31637108,22170741,533798,3468166,13214650,109936103,43912978,0
1724282907.3153,1010,104503341,86072872,98318543,22959600,353524,134509,25280,20977839,18750099,5846903,8327036,291055,0,7542892,66178648,24648958,0
1724282907.7235,1010,75760018,110676686,114775405,17959260,135612,52976,7690,18150226,23044777,19708564,13916341,386503,0,3344165,68677898,26581982,0
1724282908.1318,1010,120938786,117996677,138975480,24480811,938445,435780,60502,25554968,33847217,19777388,14740152,351338,0,123057,85227816,31525218,0
1724028657.7892,1011,7359937,9793636,10151354,3126674,158708,40688,5866,3402118,2779774,811797,1718371,127231,0,1103235,5456547,1778314,0
1724028658.0403,1011,9200292,9613048,11190809,3637792,184651,48965,10031,3307788,1310923,1785402,1660456,131176,11770,883048,7199664,2620697,0
1724028658.2913,1011,13988237,14998060,18264536,4336679,159797,44396,9639,4092405,4509119,4338024,2755611,211565,1134191,553570,7729629,3317947,0
1724081727.4968,1012,14631333,31417727,33168993,7838842,423519,61451,14027,7762008,11194956,4455901,3883727,72138,4452652,6054241,7011240,634190,0
1724081727.6956,1012,20958778,47410149,52280273,10993642,610741,84560,17982,10350816,15233432,7309542,4948796,111668,7162966,4656132,17918198,1953709,0
1724081727.8944,1012,8416704,17327317,18377931,4079237,152990,27116,7140,3728598,5142263,1257641,1544902,46112,1577447,2610554,7790024,0,0
1724234146.4649,1013,6485064,13374325,14805193,3933312,149245,43158,4494,3800893,3791870,296103,1964225,76513,0,0,10717218,2312651,0
1724234146.584,1013,12129765,20232615,22714542,8163484,345736,87486,8343,8527446,4982474,1945709,2748075,132893,318337,1259814,14208206,5466084,0
1724234146.7031,1013,6510386,12611736,13179181,4743362,183062,34477,3936,4729049,2943619,1118419,1927885,94454,1165997,735109,7216034,2743329,0
1724234146.8222,1013,11526957,21676382,26036322,9001012,526955,130640,8427,9965182,5678062,2865516,3847592,196724,110302,641777,16740662,4407478,0
1724234146.9413,1013,21023248,38800249,44074549,11277147,549313,117994,16718,11797444,9338380,4141939,5125070,262058,2148342,2114735,26331151,7713302,0
1724234147.0604,1013,11646906,22504369,26474320,7595049,362122,70779,8879,7487305,7528717,1569761,2643450,141768,0,2472141,14903699,5789305,0
1724234147.1795,1013,12885747,24600943,30394187,9609959,499363,111490,10276,9397373,10257863,3539405,2800071,106253,41353,0,16555564,4797467,0
1724234147.2986,1013,11383216,18540682,20526070,8146024,328796,79956,8658,8139156,5557006,2163203,2865389,138956,0,1387768,11418091,4729966,0
1724234147.4178,1013,11558006,22415555,24454154,8272418,319933,75340,8600,8106383,4050878,3327218,3404582,178371,0,1469200,15606856,4515870,0
1724234147.5369,1013,13535216,24130742,29494154,9459077,481269,125707,13247,9747747,7479337,2974464,4553829,209226,1004962,2212184,15823206,5356346,0
1724234147.656,1013,8085069,14302199,16320037,5114074,219968,51245,5152,5015907,3831419,1912342,2239550,97648,623966,693578,9258729,2746883,0
1723814717.6429,1014,54508061,68575552,76510922,24081394,402490,170392,12383,26209494,26423320,7342891,8368508,718290,1384115,2637070,38723524,22141568,0
1723814717.8384,1014,102423460,131107908,144853527,45738295,2054900,850718,53291,46873881,46450289,10715211,18375433,1448575,1681608,202765,85803652,37577108,0
1723814718.0339,1014,105091756,164642654,185293214,55719607,1288360,553807,44778,53020137,58379122,7479203,23541851,2041249,0,2034340,117400547,41546922,0
1723814718.2293,1014,93010199,117014664,128479226,38245273,1493163,603550,17420,37418167,40529739,12770012,13633314,1029375,0,1086960,74092515,40075750,0
1723814718.4248,1014,50604659,71202802,80350742,22332174,868607,387838,36682,22859387,26700656,11424949,9051045,602313,3699363,2170669,36355104,18522755,0
1723814718.6203,1014,90488585,113667356,126483683,44676390,1729172,749968,72936,41935783,52399231,2529673,20113498,1621811,1234913,0,70319865,29049943,0
1723814718.8158,1014,91591736,145717006,173026210,43428367,1642129,670035,90045,45861760,48874205,17187783,19186476,1577762,8873911,24057741,74032568,36151691,0
1723814719.0112,1014,106616616,155831342,176067478,66437434,683303,299509,5990,69126732,59901019,17804367,25057783,1920060,4319563,0,94042528,45230486,0
1723689491.395,1015,18672505,36963540,42773557,18078426,1391376,334113,43180,17443833,7502817,3628180,7729849,657591,7564257,1155913,22922388,3020720,0
1723689491.5127,1015,7191937,14279506,14971834,5667310,369267,77624,5728,5318224,2436927,504137,2388065,170581,2601252,1026294,8403221,1467352,0
1723689491.6305,1015,16046300,29852578,37299707,12715904,1059206,216919,5922,12327981,8457259,2217787,4375462,354098,4175281,1563232,20886146,2617179,0
1723693025.2802,1016,40143370,69893457,79411917,12286362,776016,271039,56384,11253110,21275595,4187421,11759344,213604,0,669430,53279470,6924326,0
1723693025.3709,1016,23985288,53203377,54682000,14095776,490273,144956,24373,14202006,13267637,3240004,6946226,154551,3039327,1782155,33352874,2286925,0
1723693025.4616,1016,13047563,22331039,23615912,6031370,366869,126482,32938,5889841,5694484,3066276,3108446,74944,1211522,857123,12786505,1845828,0
1724192771.8475,1017,41127953,56635416,63808605,16757741,456157,77817,14486,16253884,15503779,7799848,10684968,694129,3586285,7547831,29370859,11065126,1
1724192772.1257,1017,30245866,53446294,56018482,9814174,680646,171899,44793,9911125,14517357,7345854,9666041,481951,4638840,10025024,19491404,8850649,1
1724192772.404,1017,42149944,69227186,85748455,16970857,1825796,371800,112097,17491319,17207802,22249482,10546184,435462,5677298,6594174,34019697,16737033,1
1724192772.6822,1017,58525337,106471383,130693029,26924134,2142499,620629,193407,28393112,23257673,25837768,17841180,808346,24889570,17151394,39556622,19368927,1
1724192772.9604,1017,54706313,101183069,107823520,34701626,5788220,1872941,542369,32453610,29624609,29953879,14518594,772047,15210129,13729768,19305133,21170035,1
1724081999.2804,1018,29111133,43412688,52446960,11472216,454788,106401,24750,11091975,15911746,8373841,7155888,355073,0,6609833,21551540,8438188,0
1724081999.432,1018,25596710,33778052,41218299,4749700,133785,27641,7542,4617812,10097351,6578383,5005616,219321,1274677,28486,23239400,5583346,0
1724081999.5836,1018,32505611,39303746,44720843,5353300,244387,74935,16512,5944535,9900014,7752784,6855812,292884,0,1421760,25646285,8327407,0
1724081999.7352,1018,54623239,78002895,81233397,11289251,292911,68126,15831,11945546,20983284,14173452,12278688,625161,4605444,8037457,33433757,15280203,0
1724081999.8868,1018,35596837,48894472,57213429,2279353,87150,24815,5758,2444723,20146078,9074567,6939271,299857,2383960,5202410,20406413,8695112,0
1724082000.0383,1018,30573119,42068784,44041720,7064423,191056,42889,12271,6619757,13291646,6557115,6540887,286428,634528,0,23558430,6892798,0
1724082000.1899,1018,20012927,26345921,32921667,3336870,94169,25924,5767,3670953,6715888,7421344,3486780,155120,0,249707,18534726,5698172,0
1724082000.3415,1018,18085532,26179380,28435939,1440088,66877,19566,4922,1524885,7567895,3990116,4184538,180353,1201658,0,15676268,4059508,0
1724082000.4931,1018,83767400,120214975,144377760,19733097,675783,208096,48076,20217361,45893163,26949281,17913431,740491,0,2325576,69209739,23922213,0
1724082000.6447,1018,38259437,54931641,62666847,14765898,368861,90192,20144,14891778,21089165,7811007,8586771,354201,0,6119496,27647179,9253140,0
1724082000.7963,1018,23571665,26691354,30599633,7596383,483740,114205,30116,7421735,9994247,5137016,4914880,191386,1257840,1961648,12248879,6159156,0
1724354392.9081,1019,30545708,48414981,60511934,12871400,421568,121674,32757,12633153,14266840,5383584,6233611,161522,2062477,0,38799032,3979833,0
1724354393.0253,1019,12985667,22411080,27944912,6799487,128345,35265,8537,7305656,9067565,4632052,3345381,105069,210968,714845,13319480,2200747,0
1724354393.1425,1019,21255062,34198294,35674810,9546104,168580,42265,11342,10313017,10030992,6392871,5332366,206569,1148083,1647730,16455132,3681184,0
1724354393.2596,1019,11334491,19970122,20826585,5484762,110942,27311,6628,5701957,5687767,1343101,3009545,101263,2130046,1069814,10595856,2497703,0
1724354393.3768,1019,42284426,67443743,72590820,22583541,489698,151055,43372,21458788,28407257,9390334,9592605,317260,6235717,0,28557511,6826946,0
1724354393.4939,1019,10129242,14070119,16198479,4363206,46437,16143,4053,4612168,3980720,2322200,2619656,76055,544093,1673420,7678044,1742290,0
1724354393.6111,1019,21938715,37869588,42523698,12578178,163371,47868,14342,11904755,11851187,5258090,6440268,233251,0,0,25414420,4362840,0
1724354393.7282,1019,53134432,90298170,99869959,43058426,552611,125705,35683,40098425,34971802,19034065,14467283,477380,0,12215228,33648862,14220187,0
1723669940.9838,1020,22077573,27184565,33726728,10109442,716012,185700,6972,9699795,10803739,6552021,3221677,143109,418583,1026417,14925967,3584637,0
1723669941.3762,1020,19973178,30229134,33136806,9288045,650289,174864,24200,10099397,9897522,3744812,3983183,167159,1863572,1548548,16082350,3544668,0
1723669941.7686,1020,18226303,27345796,34157186,6876727,368351,84595,6016,7083773,11647948,4340291,3224286,132397,1734032,456129,15978785,3770642,0
1723669942.1611,1020,10335407,13428330,14137231,4522649,217398,53753,4712,4339720,3721882,1600878,2006314,86397,932079,1961930,5920461,1850993,0
1723594099.5778,1021,11642068,11598474,13861879,2149750,59167,20878,5309,2215460,2309080,879094,2846532,119968,1600570,3249104,5824029,3221486,0
1723594099.849,1021,9011092,8728249,10532642,1706203,12930,3526,911,1849694,1628472,925786,1708302,78679,2270629,2259195,3448558,2645365,0
1723594100.1202,1021,8163094,7867827,9043927,1215200,34535,10536,2427,1202451,2120732,873316,1218151,48388,974962,2298793,2776121,2359948,0
1723594100.3914,1021,13923861,9852128,11626563,3232731,104727,29444,7148,3172602,1848275,413539,2049810,85584,1514002,1509916,6340829,4325905,0
1723594100.6625,1021,12542885,10803641,11103229,3231589,143771,46546,14093,3095119,2187181,481205,2014827,70469,2057947,2254296,4122598,2417493,0
1723594100.9337,1021,11700133,9640513,10541034,2873363,89764,23262,6824,2807861,2904638,1455572,1617040,72089,1782856,1881854,2516112,3238982,0
1723792338.6377,1022,128678862,207287448,250612143,37530160,785168,95505,13085,40651379,42679292,39342420,30500392,1836067,0,8770226,159820203,50915937,0
1723792339.0483,1022,90219342,141173434,155238448,32273884,507742,92971,13644,35572872,24807080,29055155,22328807,1210920,0,4710035,96666177,40365038,0
1723792339.4589,1022,164166346,248794356,303340884,58729282,569254,93833,18209,56485306,57340520,62390599,42447499,1844291,13604505,60374,169944883,57854175,0
1723792339.8695,1022,120460058,178994919,216927027,32331245,285867,57052,7282,34884985,42986658,37216763,21940145,1091285,10601888,3677942,122443774,47642271,0
1723792340.2801,1022,221435924,329147300,361641343,56732679,289078,48913,6330,56086577,59805573,70271838,52152471,2670223,12920916,28067909,190575105,60799553,0
1723792340.6908,1022,122893145,151140683,155569006,24994893,438965,77503,10157,27765979,33830023,15009898,22606571,1189317,4148002,10236817,92344263,46445430,0
1724409051.0728,1023,99290860,201954610,226531309,25887863,551357,162806,28703,27961872,69546657,39415214,39210593,1828120,0,14862427,102707009,39433390,0
1724409051.1258,1023,84915647,160739279,190505048,59928940,1172434,362402,55559,55296123,47570170,41079945,28494340,1268557,24988420,9366577,67499934,36090422,0
1724409051.1789,1023,187047929,358609426,407513645,112763409,5296978,1419237,255378,108319578,110998732,70957875,56087933,2512812,25604770,3691566,196260701,70873009,0
1724014319.5316,1024,59140287,130077068,159739382,27734453,919151,192660,64147,28847673,56704961,22309245,21981980,1771042,6776692,20592582,53355900,19515113,0
1724014319.7301,1024,34197445,78172306,86958147,14418794,428311,100496,30192,13587278,33332892,12936727,12799805,995605,2510228,8110824,30067474,9725880,0
1724014319.9286,1024,37703806,86538906,106890840,20248571,992813,211391,64235,19841593,40546454,6435301,12384886,993740,0,4187311,55721773,10308602,0
1724034378.7941,1025,116205413,209504193,253005994,46003885,1750045,577000,45837,47828546,47160492,65692195,42061000,1260016,12141989,0,128011317,30846306,0
1724034379.1449,1025,144869708,256321355,301504066,77483625,2346844,813362,99696,79948427,57831841,83647450,54128808,1684258,13592575,6904238,139527961,63898168,0
1724034379.4957,1025,106586437,176479963,199778929,69021175,2570023,727811,37235,68438841,53501387,43176634,34050720,808197,11589518,0,91511388,40058822,0
1724138287.1428,1026,61941415,75632771,84649159,19203818,1272886,500088,156010,18904547,31270323,12417960,15528472,1247668,2668088,759118,37533668,16806312,0
1724138287.2617,1026,85121988,124860281,142025322,31954332,1126872,445604,126425,30425093,43501526,27667524,26309827,2076288,0,12427795,58428476,14067145,0
1724138287.3806,1026,38488603,65841583,70924474,24835434,1958865,845903,245845,23351160,22287957,11110685,13067449,867511,0,3907731,33618099,7300162,0
1723915281.5655,1027,135535651,292270105,312005603,77493737,1042225,179996,40888,83550184,91037920,37879856,55604136,3072459,10796133,17991910,154299782,49004565,0
1723915281.7173,1027,448622544,936767454,1090756082,258181513,1290907,233309,45936,252085001,277091558,53126838,197935164,11386134,0,1365486,759172198,138281400,0
1723915281.8691,1027,133871595,302279775,353010429,78833855,1609120,268911,66293,80591382,66508548,43969666,60551922,3435558,0,19328027,223204186,37450871,0
1724452928.9953,1028,125851206,157640165,186806723,33368412,774000,126118,2522,32312971,32024962,26026558,28893547,1485446,8556167,2247166,117951868,12148152,1
1724452929.2,1028,180115512,245723534,296432765,50387392,984918,125217,8777,50645379,64566945,31579130,47868600,2627351,2102928,0,198183761,19762783,1
1724452929.4046,1028,168403648,194563587,237245716,42343865,980040,185198,15288,41626970,63701410,21461492,29814858,1495084,2325280,21861235,127896297,35375306,1
1724452929.6093,1028,216760786,295334593,313852447,90165268,6983667,1695204,183924,82583653,50469275,35287010,52590855,2350936,1710949,13674127,212711085,40545485,1
1724452929.814,1028,173862559,281058025,295065244,89629039,5623101,1397508,225418,89238404,80995693,42686846,56505610,1995218,26405376,0,144977327,19114139,1
1724452930.0186,1028,138021047,203062843,234270924,62894884,4017890,894079,142536,68652338,40877603,58680210,50532098,1507936,0,17641394,117071716,12500403,1
1724452930.2233,1028,101089629,141891945,172530617,47133043,2423438,648103,150583,43402444,41788309,16596507,30888507,1215954,14548503,0,99597297,8250121,1
1724452930.428,1028,86362970,134967454,147441423,55767695,6596459,1890196,553981,54244772,39049270,26070543,26846572,1061919,31336984,20908552,30076072,5672477,1
1723895115.8293,1029,14044406,13888084,16413513,4804015,216712,57825,16815,4666703,4795741,2306680,2747273,84460,0,781981,8529109,4968761,0
1723895116.2954,1029,15105836,14644952,15861458,5828349,144690,38285,12454,5535191,4206563,3236485,3081768,150317,0,0,8418408,6695172,0
1723895116.7615,1029,17130715,18679012,21882734,8116253,303630,79815,24687,7616974,6888694,3993602,3321758,99220,1194881,1083093,8722463,6004837,0
1723895117.2276,1029,13170622,13717359,16510059,6317984,225050,58462,17183,6161703,5115074,2273826,2802986,85112,260992,224376,8635789,4577066,0
1723895117.6937,1029,18249726,20317333,23195565,7462299,271434,71755,23705,7501329,6968130,4698427,3899388,134295,241069,735573,10552363,7177313,0
1724153987.4281,1030,16165565,15859988,16641867,5962153,405191,87667,24557,5706853,5960510,2282830,2963512,170580,0,1520747,6877779,5894466,0
1724153987.6565,1030,39302713,30436677,36689383,8224555,571853,104123,27562,8467239,9989607,5257681,4950340,298846,2318162,2023064,17100866,13982198,0
1724153987.8848,1030,21624213,20309366,20781392,4852214,299867,51875,15348,5352387,6134572,4009360,3506078,259365,0,99466,10537992,8804534,0
1723965168.4002,1031,45030228,56227765,69756683,14807514,148514,19787,3836,13465647,14139817,14586117,11966216,310190,2636852,0,38393896,1132428,0
1723965168.6645,1031,55937567,75479660,77116819,20433242,152400,31042,5709,22285891,17535151,9226665,15872156,254622,9243803,1642232,39468967,1538837,0
1723965168.9288,1031,86992637,91108643,102817080,21691193,350548,56705,14211,21603245,21370559,21810627,20846438,555059,11354904,0,48280987,15476741,0
1723965169.1931,1031,65623161,92668128,106261734,30730490,970137,196204,44580,28246388,24150075,13028247,19340311,490655,0,2445993,66637418,6955716,0
1723965169.4575,1031,98970424,116126901,121777678,20947143,275609,49564,7639,22926388,26610205,20311442,21925625,639009,0,0,74856030,3923919,0
1723965169.7218,1031,119765623,167114936,191283972,39461863,197309,26219,5796,42718485,47973408,25277006,40358337,1057697,13466042,0,104567515,11218255,0
1723965169.9861,1031,104061346,117875959,128911989,24090715,314939,37209,6818,22898631,23748267,31021349,27140330,668002,10567256,5410647,58164468,13235330,0
1723965170.2505,1031,68988410,73800673,87949606,24227169,502825,83720,17625,26609917,15626152,13723436,15463978,372614,694792,0,57905224,7384504,0
1723965170.5148,1031,97878283,106429632,123578278,29889729,1071863,138921,35436,28031982,26350774,16547174,23951885,649711,0,0,80680329,7335476,0
