timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,ll_cache_miss,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,ransomware
1724323133.4768,1008,168053395,168079102,179244507,36921650,389385,9713,48376111,42216469,33798803,592597,20713734,13023258,0
1724137609.1062,1009,17535306,22780191,25693120,12546123,475337,21791,6317573,4772732,2496877,144509,0,1989928,0
1724137609.2322,1009,15867972,12016471,13527340,6877022,353290,19187,3388277,1391450,1549815,88691,0,1463755,0
1724137609.3582,1009,11295513,12221137,13810289,5362721,120657,4765,3038540,1308101,1872101,107138,304918,701848,0
1724137609.4842,1009,19061830,12088221,14420154,4299344,64355,1387,4267317,407856,1474763,80574,291622,1144403,0
1724137609.6102,1009,24040785,27166455,27808542,12891057,637820,33382,8348708,5918710,3570261,196552,1101793,1874978,0
1724137609.7362,1009,14204185,9703256,11140409,3220954,105827,4887,2473849,485771,1070764,53370,342565,175325,0
1724137609.8622,1009,12112947,9396209,10155963,3816451,144152,7509,2724057,403396,1293732,67354,0,415969,0
1724137609.9882,1009,8164820,4887345,5197361,2215642,52373,2928,1260126,682406,742746,35999,0,0,0
1724282905.6824,1010,158040904,189855548,230812959,55239626,1710918,111036,31831772,41673907,17863390,575768,16582093,18318471,0
1724282906.0906,1010,127997260,121421701,137893919,26907478,134537,9784,23934964,27588526,20793553,503532,7584931,0,0
1724282906.4989,1010,202748508,273943985,285333426,62771013,1561725,94376,55480035,51363434,25613295,629816,2369410,0,0
1724282906.9071,1010,161421601,173773212,191168511,35828486,593921,32665,32912482,31637108,22170741,533798,3468166,13214650,0
1724282907.3153,1010,104503341,86072872,98318543,22959600,353524,25280,18750099,5846903,8327036,291055,0,7542892,0
1724282907.7235,1010,75760018,110676686,114775405,17959260,135612,7690,23044777,19708564,13916341,386503,0,3344165,0
1724282908.1318,1010,120938786,117996677,138975480,24480811,938445,60502,33847217,19777388,14740152,351338,0,123057,0
1724028657.7892,1011,7359937,9793636,10151354,3126674,158708,5866,2779774,811797,1718371,127231,0,1103235,0
1724028658.0403,1011,9200292,9613048,11190809,3637792,184651,10031,1310923,1785402,1660456,131176,11770,883048,0
1724028658.2913,1011,13988237,14998060,18264536,4336679,159797,9639,4509119,4338024,2755611,211565,1134191,553570,0
1724081727.4968,1012,14631333,31417727,33168993,7838842,423519,14027,11194956,4455901,3883727,72138,4452652,6054241,0
1724081727.6956,1012,20958778,47410149,52280273,10993642,610741,17982,15233432,7309542,4948796,111668,7162966,4656132,0
1724081727.8944,1012,8416704,17327317,18377931,4079237,152990,7140,5142263,1257641,1544902,46112,1577447,2610554,0
1724234146.4649,1013,6485064,13374325,14805193,3933312,149245,4494,3791870,296103,1964225,76513,0,0,0
1724234146.584,1013,12129765,20232615,22714542,8163484,345736,8343,4982474,1945709,2748075,132893,318337,1259814,0
1724234146.7031,1013,6510386,12611736,13179181,4743362,183062,3936,2943619,1118419,1927885,94454,1165997,735109,0
1724234146.8222,1013,11526957,21676382,26036322,9001012,526955,8427,5678062,2865516,3847592,196724,110302,641777,0
1724234146.9413,1013,21023248,38800249,44074549,11277147,549313,16718,9338380,4141939,5125070,262058,2148342,2114735,0
1724234147.0604,1013,11646906,22504369,26474320,7595049,362122,8879,7528717,1569761,2643450,141768,0,2472141,0
1724234147.1795,1013,12885747,24600943,30394187,9609959,499363,10276,10257863,3539405,2800071,106253,41353,0,0
1724234147.2986,1013,11383216,18540682,20526070,8146024,328796,8658,5557006,2163203,2865389,138956,0,1387768,0
1724234147.4178,1013,11558006,22415555,24454154,8272418,319933,8600,4050878,3327218,3404582,178371,0,1469200,0
1724234147.5369,1013,13535216,24130742,29494154,9459077,481269,13247,7479337,2974464,4553829,209226,1004962,2212184,0
1724234147.656,1013,8085069,14302199,16320037,5114074,219968,5152,3831419,1912342,2239550,97648,623966,693578,0
1723814717.6429,1014,54508061,68575552,76510922,24081394,402490,12383,26423320,7342891,8368508,718290,1384115,2637070,0
1723814717.8384,1014,102423460,131107908,144853527,45738295,2054900,53291,46450289,10715211,18375433,1448575,1681608,202765,0
1723814718.0339,1014,105091756,164642654,185293214,55719607,1288360,44778,58379122,7479203,23541851,2041249,0,2034340,0
1723814718.2293,1014,93010199,117014664,128479226,38245273,1493163,17420,40529739,12770012,13633314,1029375,0,1086960,0
1723814718.4248,1014,50604659,71202802,80350742,22332174,868607,36682,26700656,11424949,9051045,602313,3699363,2170669,0
1723814718.6203,1014,90488585,113667356,126483683,44676390,1729172,72936,52399231,2529673,20113498,1621811,1234913,0,0
1723814718.8158,1014,91591736,145717006,173026210,43428367,1642129,90045,48874205,17187783,19186476,1577762,8873911,24057741,0
1723814719.0112,1014,106616616,155831342,176067478,66437434,683303,5990,59901019,17804367,25057783,1920060,4319563,0,0
1723689491.395,1015,18672505,36963540,42773557,18078426,1391376,43180,7502817,3628180,7729849,657591,7564257,1155913,0
1723689491.5127,1015,7191937,14279506,14971834,5667310,369267,5728,2436927,504137,2388065,170581,2601252,1026294,0
1723689491.6305,1015,16046300,29852578,37299707,12715904,1059206,5922,8457259,2217787,4375462,354098,4175281,1563232,0
1723693025.2802,1016,40143370,69893457,79411917,12286362,776016,56384,21275595,4187421,11759344,213604,0,669430,0
1723693025.3709,1016,23985288,53203377,54682000,14095776,490273,24373,13267637,3240004,6946226,154551,3039327,1782155,0
1723693025.4616,1016,13047563,22331039,23615912,6031370,366869,32938,5694484,3066276,3108446,74944,1211522,857123,0
1724192771.8475,1017,41127953,56635416,63808605,16757741,456157,14486,15503779,7799848,10684968,694129,3586285,7547831,1
1724192772.1257,1017,30245866,53446294,56018482,9814174,680646,44793,14517357,7345854,9666041,481951,4638840,10025024,1
1724192772.404,1017,42149944,69227186,85748455,16970857,1825796,112097,17207802,22249482,10546184,435462,5677298,6594174,1
1724192772.6822,1017,58525337,106471383,130693029,26924134,2142499,193407,23257673,25837768,17841180,808346,24889570,17151394,1
1724192772.9604,1017,54706313,101183069,107823520,34701626,5788220,542369,29624609,29953879,14518594,772047,15210129,13729768,1
1724081999.2804,1018,29111133,43412688,52446960,11472216,454788,24750,15911746,8373841,7155888,355073,0,6609833,0
1724081999.432,1018,25596710,33778052,41218299,4749700,133785,7542,10097351,6578383,5005616,219321,1274677,28486,0
1724081999.5836,1018,32505611,39303746,44720843,5353300,244387,16512,9900014,7752784,6855812,292884,0,1421760,0
1724081999.7352,1018,54623239,78002895,81233397,11289251,292911,15831,20983284,14173452,12278688,625161,4605444,8037457,0
1724081999.8868,1018,35596837,48894472,57213429,2279353,87150,5758,20146078,9074567,6939271,299857,2383960,5202410,0
1724082000.0383,1018,30573119,42068784,44041720,7064423,191056,12271,13291646,6557115,6540887,286428,634528,0,0
1724082000.1899,1018,20012927,26345921,32921667,3336870,94169,5767,6715888,7421344,3486780,155120,0,249707,0
1724082000.3415,1018,18085532,26179380,28435939,1440088,66877,4922,7567895,3990116,4184538,180353,1201658,0,0
1724082000.4931,1018,83767400,120214975,144377760,19733097,675783,48076,45893163,26949281,17913431,740491,0,2325576,0
1724082000.6447,1018,38259437,54931641,62666847,14765898,368861,20144,21089165,7811007,8586771,354201,0,6119496,0
1724082000.7963,1018,23571665,26691354,30599633,7596383,483740,30116,9994247,5137016,4914880,191386,1257840,1961648,0
1724354392.9081,1019,30545708,48414981,60511934,12871400,421568,32757,14266840,5383584,6233611,161522,2062477,0,0
1724354393.0253,1019,12985667,22411080,27944912,6799487,128345,8537,9067565,4632052,3345381,105069,210968,714845,0
1724354393.1425,1019,21255062,34198294,35674810,9546104,168580,11342,10030992,6392871,5332366,206569,1148083,1647730,0
1724354393.2596,1019,11334491,19970122,20826585,5484762,110942,6628,5687767,1343101,3009545,101263,2130046,1069814,0
1724354393.3768,1019,42284426,67443743,72590820,22583541,489698,43372,28407257,9390334,9592605,317260,6235717,0,0
1724354393.4939,1019,10129242,14070119,16198479,4363206,46437,4053,3980720,2322200,2619656,76055,544093,1673420,0
1724354393.6111,1019,21938715,37869588,42523698,12578178,163371,14342,11851187,5258090,6440268,233251,0,0,0
1724354393.7282,1019,53134432,90298170,99869959,43058426,552611,35683,34971802,19034065,14467283,477380,0,12215228,0
1723669940.9838,1020,22077573,27184565,33726728,10109442,716012,6972,10803739,6552021,3221677,143109,418583,1026417,0
1723669941.3762,1020,19973178,30229134,33136806,9288045,650289,24200,9897522,3744812,3983183,167159,1863572,1548548,0
1723669941.7686,1020,18226303,27345796,34157186,6876727,368351,6016,11647948,4340291,3224286,132397,1734032,456129,0
1723669942.1611,1020,10335407,13428330,14137231,4522649,217398,4712,3721882,1600878,2006314,86397,932079,1961930,0
1723594099.5778,1021,11642068,11598474,13861879,2149750,59167,5309,2309080,879094,2846532,119968,1600570,3249104,0
1723594099.849,1021,9011092,8728249,10532642,1706203,12930,911,1628472,925786,1708302,78679,2270629,2259195,0
1723594100.1202,1021,8163094,7867827,9043927,1215200,34535,2427,2120732,873316,1218151,48388,974962,2298793,0
1723594100.3914,1021,13923861,9852128,11626563,3232731,104727,7148,1848275,413539,2049810,85584,1514002,1509916,0
1723594100.6625,1021,12542885,10803641,11103229,3231589,143771,14093,2187181,481205,2014827,70469,2057947,2254296,0
1723594100.9337,1021,11700133,9640513,10541034,2873363,89764,6824,2904638,1455572,1617040,72089,1782856,1881854,0
1723792338.6377,1022,128678862,207287448,250612143,37530160,785168,13085,42679292,39342420,30500392,1836067,0,8770226,0
1723792339.0483,1022,90219342,141173434,155238448,32273884,507742,13644,24807080,29055155,22328807,1210920,0,4710035,0
1723792339.4589,1022,164166346,248794356,303340884,58729282,569254,18209,57340520,62390599,42447499,1844291,13604505,60374,0
1723792339.8695,1022,120460058,178994919,216927027,32331245,285867,7282,42986658,37216763,21940145,1091285,10601888,3677942,0
1723792340.2801,1022,221435924,329147300,361641343,56732679,289078,6330,59805573,70271838,52152471,2670223,12920916,28067909,0
1723792340.6908,1022,122893145,151140683,155569006,24994893,438965,10157,33830023,15009898,22606571,1189317,4148002,10236817,0
1724409051.0728,1023,99290860,201954610,226531309,25887863,551357,28703,69546657,39415214,39210593,1828120,0,14862427,0
1724409051.1258,1023,84915647,160739279,190505048,59928940,1172434,55559,47570170,41079945,28494340,1268557,24988420,9366577,0
1724409051.1789,1023,187047929,358609426,407513645,112763409,5296978,255378,110998732,70957875,56087933,2512812,25604770,3691566,0
1724014319.5316,1024,59140287,130077068,159739382,27734453,919151,64147,56704961,22309245,21981980,1771042,6776692,20592582,0
1724014319.7301,1024,34197445,78172306,86958147,14418794,428311,30192,33332892,12936727,12799805,995605,2510228,8110824,0
1724014319.9286,1024,37703806,86538906,106890840,20248571,992813,64235,40546454,6435301,12384886,993740,0,4187311,0
1724034378.7941,1025,116205413,209504193,253005994,46003885,1750045,45837,47160492,65692195,42061000,1260016,12141989,0,0
1724034379.1449,1025,144869708,256321355,301504066,77483625,2346844,99696,57831841,83647450,54128808,1684258,13592575,6904238,0
1724034379.4957,1025,106586437,176479963,199778929,69021175,2570023,37235,53501387,43176634,34050720,808197,11589518,0,0
1724138287.1428,1026,61941415,75632771,84649159,19203818,1272886,156010,31270323,12417960,15528472,1247668,2668088,759118,0
1724138287.2617,1026,85121988,124860281,142025322,31954332,1126872,126425,43501526,27667524,26309827,2076288,0,12427795,0
1724138287.3806,1026,38488603,65841583,70924474,24835434,1958865,245845,22287957,11110685,13067449,867511,0,3907731,0
1723915281.5655,1027,135535651,292270105,312005603,77493737,1042225,40888,91037920,37879856,55604136,3072459,10796133,17991910,0
1723915281.7173,1027,448622544,936767454,1090756082,258181513,1290907,45936,277091558,53126838,197935164,11386134,0,1365486,0
1723915281.8691,1027,133871595,302279775,353010429,78833855,1609120,66293,66508548,43969666,60551922,3435558,0,19328027,0
1724452928.9953,1028,125851206,157640165,186806723,33368412,774000,2522,32024962,26026558,28893547,1485446,8556167,2247166,1
1724452929.2,1028,180115512,245723534,296432765,50387392,984918,8777,64566945,31579130,47868600,2627351,2102928,0,1
1724452929.4046,1028,168403648,194563587,237245716,42343865,980040,15288,63701410,21461492,29814858,1495084,2325280,21861235,1
1724452929.6093,1028,216760786,295334593,313852447,90165268,6983667,183924,50469275,35287010,52590855,2350936,1710949,13674127,1
1724452929.814,1028,173862559,281058025,295065244,89629039,5623101,225418,80995693,42686846,56505610,1995218,26405376,0,1
1724452930.0186,1028,138021047,203062843,234270924,62894884,4017890,142536,40877603,58680210,50532098,1507936,0,17641394,1
1724452930.2233,1028,101089629,141891945,172530617,47133043,2423438,150583,41788309,16596507,30888507,1215954,14548503,0,1
1724452930.428,1028,86362970,134967454,147441423,55767695,6596459,553981,39049270,26070543,26846572,1061919,31336984,20908552,1
1723895115.8293,1029,14044406,13888084,16413513,4804015,216712,16815,4795741,2306680,2747273,84460,0,781981,0
1723895116.2954,1029,15105836,14644952,15861458,5828349,144690,12454,4206563,3236485,3081768,150317,0,0,0
1723895116.7615,1029,17130715,18679012,21882734,8116253,303630,24687,6888694,3993602,3321758,99220,1194881,1083093,0
1723895117.2276,1029,13170622,13717359,16510059,6317984,225050,17183,5115074,2273826,2802986,85112,260992,224376,0
1723895117.6937,1029,18249726,20317333,23195565,7462299,271434,23705,6968130,4698427,3899388,134295,241069,735573,0
1724153987.4281,1030,16165565,15859988,16641867,5962153,405191,24557,5960510,2282830,2963512,170580,0,1520747,0
1724153987.6565,1030,39302713,30436677,36689383,8224555,571853,27562,9989607,5257681,4950340,298846,2318162,2023064,0
1724153987.8848,1030,21624213,20309366,20781392,4852214,299867,15348,6134572,4009360,3506078,259365,0,99466,0
1723965168.4002,1031,45030228,56227765,69756683,14807514,148514,3836,14139817,14586117,11966216,310190,2636852,0,0
1723965168.6645,1031,55937567,75479660,77116819,20433242,152400,5709,17535151,9226665,15872156,254622,9243803,1642232,0
1723965168.9288,1031,86992637,91108643,102817080,21691193,350548,14211,21370559,21810627,20846438,555059,11354904,0,0
1723965169.1931,1031,65623161,92668128,106261734,30730490,970137,44580,24150075,13028247,19340311,490655,0,2445993,0
1723965169.4575,1031,98970424,116126901,121777678,20947143,275609,7639,26610205,20311442,21925625,639009,0,0,0
1723965169.7218,1031,119765623,167114936,191283972,39461863,197309,5796,47973408,25277006,40358337,1057697,13466042,0,0
1723965169.9861,1031,104061346,117875959,128911989,24090715,314939,6818,23748267,31021349,27140330,668002,10567256,5410647,0
1723965170.2505,1031,68988410,73800673,87949606,24227169,502825,17625,15626152,13723436,15463978,372614,694792,0,0
1723965170.5148,1031,97878283,106429632,123578278,29889729,1071863,35436,26350774,16547174,23951885,649711,0,0,0
1723965170.7791,1031,81381091,89359782,109190520,9187487,142363,3949,20000209,18993360,15667227,299289,0,0,0
1723965171.0434,1031,107348724,119617358,131010828,27625606,138128,3572,23266139,26786607,28713948,821716,5205478,0,0
1723965171.3078,1031,41804432,48026079,57717504,14344749,277076,9992,9974004,7907434,8940287,164765,5969443,1490237,0
1723965171.5721,1031,78641561,86428454,100443432,23215002,737657,27560,28602522,22049958,16384897,383649,2380040,0,0
1723965171.8364,1031,125575403,152623178,182823831,23855508,404591,10537,31559793,35175429,32383190,1093864,13142902,0,0
1723524483.7135,1032,32687299,53778990,57855644,11357648,777209,13456,15297973,2999911,6723758,512574,368542,2271678,1
1723524483.9856,1032,19682040,26605518,31975532,3340455,161812,3995,8473165,3011136,3244821,206464,1909800,990122,1
1723524484.2577,1032,29383477,31408571,38704574,7851331,274741,6880,12438313,4743161,4291770,316159,1510145,0,1
1723524484.5297,1032,26777554,37972479,46929445,3364767,124907,4410,13281172,4056909,5537632,422390,837415,0,1
1723524484.8018,1032,25737677,34226675,35217897,5234930,296255,6022,9885722,1210121,5473846,349874,0,2573435,1
1723524485.0738,1032,29796399,50714450,52697843,10614174,761500,42750,15772065,6281899,6997499,472443,5919761,0,1
1723524485.3459,1032,30756944,50427575,59886605,10496240,1587653,62483,14937527,7789664,7917152,511722,467181,6458870,1
1723524485.618,1032,22964851,37764430,43834525,7840640,1098394,59531,13335131,5343124,5361869,345626,7651690,6358875,1
1723524485.89,1032,19779383,29594992,32523423,10261113,1213726,79853,6887997,3767951,3102500,137377,2448141,4018163,1
1724069645.3048,1033,211372319,343876212,401695550,102333959,4507265,470540,63499874,36439911,69084046,2239311,3655717,41161261,0
1724069645.5187,1033,118915498,195804012,200477847,43890613,1233248,74474,28498338,50632546,31317015,1045508,13089202,27844295,0
1724069645.7325,1033,159827330,256146627,301387838,40765408,1668988,139317,73263279,63742313,37834338,1479623,8105422,28405622,0
1724069645.9464,1033,113579581,196408848,213860791,52692211,2449273,172453,43520506,7393792,33455839,1161459,16662028,17332032,0
1724069646.1602,1033,126488817,240217946,285430663,69643197,2626405,193305,65589990,45189361,34309712,947178,3512526,41083543,0
1724069646.3741,1033,157117307,257458459,277087971,77023066,2993726,275305,38731690,50100886,34468152,1528789,0,39253175,0
1724379434.8222,1034,43952736,81562266,87258887,25726110,1038517,27738,18050065,18233896,16198232,906583,3817522,6906644,0
1724379434.9984,1034,15623581,26302680,31412628,10794113,304591,6448,8155765,8189220,5865494,348163,0,631386,0
1724379435.1747,1034,18036812,35376817,37937978,13848274,345011,3729,6455841,2500826,7322084,490220,0,0,0
1724379435.3509,1034,25607360,42461028,49430186,14536102,594443,15659,11821650,4614800,8085888,509755,315347,0,0
1724379435.5271,1034,17419603,36438517,37224930,13048172,491413,8557,7401664,7947633,7894968,480536,805571,0,0
1724379435.7034,1034,37627165,65584596,70440314,26059666,928957,20513,14662195,13903983,16393728,1128101,0,0,0
1724379435.8796,1034,13542109,22911102,23408616,7928318,342668,4567,7273834,1877393,4113343,280623,806329,0,0
1724379436.0558,1034,22641818,45128466,48371867,16436975,488593,7664,11202945,8682446,9233902,665366,0,2365527,0
1724379436.2321,1034,22929549,40470577,44019615,14552809,599680,11174,13516111,7512328,7885537,498675,0,0,0
1724379436.4083,1034,12767974,21946950,24466747,9238875,340911,8211,5592464,4258767,3929882,254292,0,0,0
1724379436.5845,1034,22217707,37650219,39890529,13542558,432638,9101,10863378,5963304,8001846,437355,470472,0,0
1724379436.7608,1034,23582588,38828679,42281278,10877785,499037,6851,11351293,5071956,7739031,382998,0,4473759,0
1724379436.937,1034,18589319,35180327,36595690,9530507,254449,2685,11036792,7403561,5815179,403991,1729190,711852,0
1724379437.1133,1034,13077800,23126007,28041633,7341351,315380,5274,7079146,4290830,4669896,300743,570820,0,0
1724379437.2895,1034,28417319,47378553,49660022,17655919,504176,10009,15535386,9307553,10520113,727294,619434,408253,0
1724379437.4657,1034,14835980,23045542,28609187,6173927,314891,7305,7906285,6306603,4806596,281317,961821,630242,0
1724379437.642,1034,17093087,29567268,32919227,8685948,179930,3489,10969246,6808362,5843353,409143,165537,2036240,0
1724379437.8182,1034,34463639,62320755,67267025,18172678,113492,2884,15062163,12601031,10856410,685837,1002576,0,0
1724379437.9944,1034,14678586,25968078,31416261,8851401,178261,4859,8921159,4218909,4927047,291271,348530,2821271,0
1723794549.792,1035,56872038,93909184,104975964,32153702,930861,45064,23309395,9184042,11858156,658627,6283043,0,0
1723794550.2302,1035,54402792,74489081,89099620,23126353,1217208,78146,21001526,3887926,10408997,500125,0,0,0
1723794550.6684,1035,102362435,181028805,222672615,46741185,2057846,99109,57920391,9803892,25018725,1362018,4170563,1904654,0
1723794551.1066,1035,121581727,215823904,227354873,76836444,3499099,117529,39315237,32380658,27195722,1646694,4665428,9181701,0
1723794551.5448,1035,106756384,181125963,208155735,60804436,2547770,119034,37273311,26336790,29112836,1464506,0,12733540,0
1723794551.983,1035,58778260,103045942,111450288,43706920,1453896,86805,34021387,2924013,13310675,720131,0,7857638,0
1723794552.4212,1035,129931673,233308378,257148077,60020840,2896505,105772,64897547,5142961,29465363,1809385,9032768,23578049,0
1723794552.8594,1035,67338807,100389919,102532793,40578081,1973116,120298,25085740,9336231,14441508,850231,11344793,5174714,0
1723794553.2976,1035,91853156,120709226,140685562,25954083,553028,26843,30279642,12087077,14309968,793138,0,6943027,0
1723794553.7358,1035,188886413,296231054,347344166,74474023,3018942,148876,106223255,30032241,41790858,2677104,2688901,8477683,0
1723794554.174,1035,66971008,112095726,122771254,29014641,1360076,92846,24964937,2455425,9636193,615516,0,0,0
1723787861.789,1036,33791711,49288241,52270299,9655156,460745,25658,11641582,9520064,8397800,502812,0,3389728,0
